Card Name,FM Slug,FM Value Estimate,Welcome Bonus,Type
American Express Platinum Card®,AmxPlat,2605,As high as 175K points,Personal
Chase Sapphire Preferred® Card,CSP,1395,100K Points,Personal
Wells Fargo Premier Autograph Visa Infinite,WellsFargoPremier,1277,100K points,Personal
American Express® Gold Card,AmxGoldCard,1276,As high as 100K points,Personal
Chase Sapphire Reserve® Card,CSR,1169,100K Points,Personal
The Platinum Card® from American Express Exclusively for Morgan Stanley,AmxPlatMS,1132,80K Points,Personal
The Platinum Card® from American Express for Schwab,AmxPlatSchwab,1132,80K points,Personal
Marriott Bonvoy Boundless® Credit Card,MRPlus,1094,125K points + 50K Free Night Certificate + $100 airfare credit,Personal
Atmos™ Rewards Ascent Visa Signature® Card,AtmosAscent,1079,85K points + Companion Fare,Personal
Citi® / AAdvantage® Platinum Select® World Elite Mastercard®,AAplat,1061,80K Miles,Personal
Atmos™ Rewards Summit Visa Infinite® Card,AtmosSummit,1047,100K points + 25K Companion Award,Personal
Delta SkyMiles® Gold American Express Card,DLgold,988,Up to 90K miles,Personal
Capital One Venture Rewards Credit Card,C1VR,985,75K Miles,Personal
Capital One Venture X Rewards Credit Card,VentureX,950,75K Miles,Personal
UBS Visa Infinite,UBSinf,924,125K points,Personal
Hilton Honors American Express Aspire Card,AmxHiltonAspire,901,175K Points + free night certificate,Personal
Citi Strata Elite℠ Card,CitiStrataElite,899,75K Points,Personal
Barclays JetBlue Plus Mastercard,B6plus,793,70K Points,Personal
Delta SkyMiles® Platinum American Express Card,DLplat,758,Up to 100K miles,Personal
Citi Strata Premier℠ Card,TYpremier,741,60K Points,Personal
Virgin Red Rewards Mastercard®,VirginRed,737,60K Points,Personal
Wells Fargo Autograph Journey℠ Card,WellsFargoAutographJourney,717,60K points,Personal
Delta SkyMiles® Reserve American Express Card,DLrsv,712,Up to 125K miles,Personal
Barclays JetBlue Premier Mastercard,JetBluePremier,711,100K Points,Personal
Aeroplan® Credit Card,Aeroplan,694,60K Points,Personal
IHG One Rewards Premier Credit Card,IHGPrem,687,140K points,Personal
Marriott Bonvoy Bevy® American Express® Card,BonvoyBevy,680,Up to 135K Points,Personal
The Hawaiian Airlines® Bank of Hawaii World Elite Mastercard®,BOHHA,663,60K Points,Personal
Marriott Bonvoy® Brilliant® American Express® Card,SPGLux,650,Up to 150K Points,Personal
Chase British Airways Visa Signature® Card,BA,630,75K Avios,Personal
Chase Iberia Visa Signature® Card,IB,630,75K Avios,Personal
Chase Aer Lingus Visa Signature® Card,EI,630,75K Avios,Personal
United℠ Explorer Card,UA,596,50K miles,Personal
Chase World of Hyatt Credit Card,WOH,565,Up to 60K points,Personal
Hilton Honors American Express Surpass® Card,hilton-honors-american-express-surpass-card,544,130K Points,Personal
Southwest Rapid Rewards® Premier Credit Card,SWprem,539,55K points,Personal
Air France KLM Visa Signature® Credit Card,AFKLM,538,50K miles + 100XP,Personal
Royal Caribbean® Royal ONE Plus™ Credit Card,RoyalCaribbeanRoyalOnePlus,538,70K points,Personal
Southwest Rapid Rewards® Plus Credit Card,SWplus,533,50K points,Personal
Amtrak Guest Rewards® Preferred Mastercard®,AMKworld,533,Up to 30K points,Personal
Bank of America Premium Rewards,boaPR,531,60K points,Personal
United Quest℠ Card,UAQ,528,60K Miles + 500 PQP,Personal
Southwest Rapid Rewards® Priority Credit Card,SWpriority,515,60K points,Personal
Lufthansa Miles & More® Premier World MasterCard®  issued by Barclays,LH,507,50K Miles,Personal
Bilt Palladium Card,BiltPalladium,505,50K points + $300 Bilt Cash,Personal
Frontier Airlines World MasterCard®,F9,480,60K miles,Personal
Citi® / AAdvantage® Globe™ Mastercard®,AAGlobe,472,60K Miles,Personal
Bank of America Premium Rewards Elite,BOAPremiumRewardsElite,450,75K points,Personal
Fairwinds Visa Signature® Credit Card,FairwindsVisa,450,60K Points,Personal
avianca lifemiles American Express® Elite Card,AviancaEliteCard,450,Up to 100K miles,Personal
Marriott Bonvoy Bold® Credit Card,MRBold,439,60K Points,Personal
IHG One Rewards Traveler Credit Card,IHGTrav,434,80K points,Personal
Wells Fargo Choice Privileges Mastercard,Choice,427,60K Points,Personal
American Express® Green Card,AmxGreen,424,40K points,Personal
HSBC Premier World Mastercard® credit card,HSBCPW,416,50K points,Personal
Hilton Honors American Express Card,AmxHilton,409,100K Points + $100 statement credit,Personal
Royal Caribbean® Royal ONE™ Credit Card,RoyalCaribbeanRoyalOne,408,45K points,Personal
Amtrak Guest Rewards Mastercard,AMKplat,379,Up to 20K points,Personal
UBS Visa Signature,UBSsig,374,50K points,Personal
United Gateway℠ Card,UAgateway,372,30K Miles,Personal
avianca lifemiles American Express® Card,AviancaCard,367,40K miles,Personal
TAP Miles&Go American Express Card,TAPMilesCard,354,40K miles + 15K status miles,Personal
Korean Air SKYPASS Visa issued by US Bank,KE,353,40K miles,Personal
Best Western Rewards® Premium Visa Signature® Card,BestWesternPremium,343,80K points,Personal
Marriott Bonvoy Bountiful™ Card,BonvoyBountiful,342,85K points,Personal
Citi® / AAdvantage® Executive World Elite Mastercard®,AAexec,328,75K miles,Personal
Emirates Skywards Rewards World Elite Mastercard,Emirates,303,40K Miles + 1 Year Silver status,Personal
Disney® Inspire Visa® Card,DisneyInspire,300,$200 Cash Back + $300 Disney Gift Card,Personal
Allegiant Allways Rewards Visa® Credit Card,Allegiant,299,40K miles,Personal
Citi Double Cash® Card,DC,299,20K points,Personal
Chase Freedom Unlimited®,CFU,296,$200 cash back*,Personal
Chase Freedom Flex®,CFF,292,$200 cash back*,Personal
Wells Fargo Choice Privileges Mastercard Select,ChoiceSelect,285,60K Points,Personal
Capital One VentureOne Rewards Credit Card,C1V1,284,20K miles,Personal
Citi Strata℠ Card,CitiStrata,284,20K Points,Personal
AT&T Points Plus Card,ATTPointsPlus,284,$200 statement credit,Personal
Qatar Airways Privilege Club Signature Card,qatarsignature,281,Up to 40K Avios,Personal
Carnival® World Mastercard®,Carnival,279,30K Fun Points,Personal
PenFed Pathfinder Rewards,PENFEDPR,275,50K Points,Personal
Cathay Pacific Visa Signature card,CX,263,38K Miles,Personal
Wells Fargo Autograph℠ Card,WellsFargoAutograph,263,20K points,Personal
United Club℠ Card,UACI,255,80K Miles,Personal
Emirates Skywards Premium World Elite Mastercard,EmiratesPremium,248,70K Miles + 1 Year Gold status,Personal
Priceline VIP Rewards™ Visa® Card,Priceline,240,$200 + 5k points,Personal
Capital One Savor Cash Rewards Credit Card,CapitalOneSavor,240,$250 Cash Back,Personal
Korean Air SKYPASS Select Visa issued by US Bank,KESelect,240,60K miles,Personal
First Tech Odyssey Rewards World Elite Mastercard®,FirstTechOdyssey,237,$300 cash back,Personal
Bank of America Travel Rewards,boaTR,234,25K points worth $250,Personal
Turkish Airlines Miles&Smiles Premier Visa Signature® Credit Card,Turkish,229,Up to 40K Miles,Personal
U.S. Bank Cash+®,USBCP,229,$250 Cash Back,Personal
Disney® Premier Visa® Card,Disney,221,$100 Cash Back + $200 Disney Gift Card,Personal
Best Western Rewards® Visa Signature® Card,BestWestern,216,40K points,Personal
Wells Fargo One Key™ Mastercard,OneKey,208,$250 OneKeyCash,Personal
American Airlines AAdvantage® MileUp® Card,AAmileup,202,15K miles,Personal
Wyndham Rewards Earner Plus Card,WyndhamEarnerPlus,195,Up to 100K Points,Personal
Wells Fargo Active Cash Card,WFAC,195,$200 Cash Back,Personal
Wyndham Rewards Earner Premier Card,WyndhamEarnerPremier,192,Up to 120K Points,Personal
Capital One Quicksilver Cash Rewards Credit Card,C1QS,192,$200 Cash Back,Personal
Holland America Line Rewards Visa® Card,HollandAmerica,190,20K Points,Personal
Princess® Rewards Visa® Card,PrincessCruises,190,20K Points,Personal
Breeze Easy™ Visa® credit card,Breeze,190,30K Points + Breezy 1 Status,Personal
Discover it®,DI,190,$200 Back + First Year Double,Personal
Evergreen® by FNBO Credit Card,FNBOEvergreen,189,$200 Back,Personal
Morgan Stanley Blue Cash Preferred® American Express Card,AmxMSBCP,187,$250 back,Personal
TD First Class Visa Signature® Card,TDfcv,187,25K points,Personal
Schwab Investor Card® from American Express,AmxSchwabIn,184,$200 Cash Back as a statement credit,Personal
Bank of America Unlimited Cash Rewards,boaUR,184,$200 cash bonus + 2% cashback for one year,Personal
Bank of America Customized Cash Rewards,boaCR,179,$200 Cash Back + 6% back in category of your choice,Personal
Norwegian Cruise Line® World Mastercard®,NCL,179,20K Points,Personal
PNC Cash Rewards® Visa® Credit Card,PNCCashRewards,179,$200 Cash Back,Personal
TD Cash Visa Credit Card,TDc,179,$200 Cash Back,Personal
USAA Cashback Rewards Plus American Express® Credit Card,USAACashbackRewardsPlus,179,$200 cash back,Personal
USAA Eagle Adapt™ Credit Card,USAAEagleAdapt,179,$200 cash back,Personal
U.S. Bank Altitude® Go Visa Signature® Card,USBGO,179,20K points,Personal
U.S. Bank Altitude® Connect Visa Signature® Card,USBCO,179,20K points,Personal
Wyndham Rewards Earner,WyndhamEarner,177,Up to 75K Points,Personal
Wells Fargo One Key+™ Mastercard,OneKeyPlus,177,$350 OneKeyCash,Personal
USAA Eagle Navigator® Visa Signature® Credit Card,USAAEagleNavigator,172,30K Points,Personal
BECU Cash Back Visa credit card,BECUCash,168,$200 Cash Back,Personal
Blue Cash Everyday® Card from American Express,AmxBCE,158,Up to $200 back,Personal
Avelo Airlines World Elite Mastercard,AveloCard,140,25K Points,Personal
First Tech Choice Rewards World Mastercard®,FirstTechChoice,137,$200 cash back,Personal
Amazon Prime Visa,AmazonPrimeVisa,135,$150 Amazon Gift Card,Personal
Amazon Visa,AmazonVisa,135,$150 Amazon Gift Card,Personal
Booking.com Genius Rewards Visa Signature® Credit Card,BookingCom,134,$150 in Booking.com credits,Personal
Disney® Visa® Card,DisneyNF,130,$50 Cash Back + $100 Disney Gift Card,Personal
Discover it® for Students,DIS,120,$100 + $20/year,Personal
Verizon Visa Card,Verizon,119,Up to $150 in statement credits,Personal
JetBlue Card,B6,112,10K Points,Personal
Korean Air SKYPASS SkyBlue Visa issued by US Bank,KEBlue,112,10K miles,Personal
Caesars Rewards® Prestige Visa Signature® Card,CaesarsRewardsPrestigeCard,105,20K Reward Credits + 2.5K Tier Credits,Personal
Discover it Miles - Double Miles your first year,DIM,100,$100 + First Year Double,Personal
PenFed Platinum Rewards,PENFEDPLAT,100,15K Points,Personal
Delta SkyMiles® Blue American Express Card,DLblue,96,10K miles,Personal
Capital One Quicksilver Rewards for Students Credit Card,CapitalOneQuicksilverStudent,95,$100 Cash Back,Personal
Capital One Savor Student Cash Rewards Credit Card,CapitalOneSavorStudent,94,$100 Cash Back,Personal
Upromise World MasterCard® issued by Barclays,Upromise,91,$100 Cash back,Personal
AARP® Essential Rewards Mastercard®,AARPER,90,$100 Cash Back,Personal
AARP® Travel Rewards Mastercard®,AARPTR,90,$100 Cash Back,Personal
Affinity Cash Rewards Visa® Signature Credit Card,AffinityCR,87,$150 cash back,Personal
Caesars Rewards® Visa Signature® Card,CaesarsRewardsCard,79,10K Reward Credits + 2.5K Tier Credits,Personal
LATAM Airlines World Elite Mastercard,latamworldelite,79,40K Miles,Personal
Rakuten American Express® Card,RakutenAmex,79,$100 cash back,Personal
MGM Rewards World Elite Mastercard®,MGMCard,79,10K points + 10K tier credits,Personal
LATAM Airlines Mastercard,latam,65,15K Miles,Personal
MGM Rewards Iconic World Elite Mastercard®,MGMIconicCard,46,30K points + $200 Resort Credit + 15K tier credits,Personal
